name
Рэп
Трэп
Бум-бэп
Дрилл
Хард-рок
Альтернативный рок
Метал
Хаус
Техно
Драм-н-бейс
Смуз-джаз
Бибоп
Фьюжн
Симфония
Оркестровая музыка
Камерная музыка
